8.886148234557173994e-03	7.737460589864221250e-01	6.660645066278195192e-02
9.152732681593889197e-03	9.735446068283833965e-01	7.365508946198151552e-02
9.427314662041705318e-03	8.940550200392112234e-01	5.919590654898793103e-02
9.710134101902957032e-03	7.377992981623334723e-01	4.618580079527975779e-02
1.000143812496004370e-02	6.981223104751067554e-01	4.267051629319865841e-02
1.030148126870884459e-02	6.170323584201325984e-01	3.577574079630981008e-02
1.061052570677011031e-02	7.003166963250614385e-01	3.580440763828540707e-02
1.092884147797321300e-02	6.878002724066181184e-01	3.241776451612393001e-02
1.125670672231240954e-02	7.320455373959011691e-01	3.089130499272663838e-02
1.159440792398178099e-02	7.153820324115874874e-01	2.869387375135532686e-02
1.194224016170123553e-02	6.916518489593515007e-01	2.648423123023812414e-02
1.230050736655227163e-02	6.327101708571725158e-01	2.300812621885809164e-02
1.266952258754884021e-02	5.611510757592499399e-01	2.033914384014951296e-02
1.304960826517530606e-02	5.539532166800562596e-01	1.889387891403296327e-02
1.344109651313056542e-02	4.983412192563103082e-01	1.686237342629723704e-02
1.384432940852448231e-02	4.751040022212149050e-01	1.543765630300256847e-02
1.425965929078021679e-02	4.871147718319970288e-01	1.455983246359980957e-02
1.468744906950362333e-02	5.165488196583754021e-01	1.422385750281547449e-02
1.512807254158873155e-02	5.073350307780680746e-01	1.317833359032563947e-02
1.558191471783639502e-02	5.012996646802796441e-01	1.248894514000249527e-02
1.604937215937148748e-02	4.832873475772139771e-01	1.162811515116118910e-02
1.653085332415263342e-02	4.352474804343463011e-01	1.058665382918229543e-02
1.702677892387721020e-02	3.780910577741637968e-01	9.472245993014475132e-03
1.753758229159352658e-02	3.519158309310470578e-01	8.518100168986205908e-03
1.806370976034133227e-02	3.304796510243657726e-01	7.764455530791952893e-03
1.860562105315157269e-02	3.464923504214931227e-01	7.861164345655761304e-03
1.916378968474612143e-02	3.554022229879819639e-01	7.750412468539530884e-03
1.973870337528850494e-02	3.388864223514146401e-01	7.392371328029389253e-03
2.033086447654715995e-02	3.147123769034331775e-01	6.968682645906850055e-03
2.094079041084357176e-02	2.850208798563787504e-01	6.488337892452239984e-03
2.156901412316887881e-02	2.468616354220712905e-01	6.082918437403980749e-03
2.221608454686394701e-02	2.216123237706405236e-01	5.419582756070386899e-03
2.288256708326986272e-02	2.125201819384866797e-01	4.537236101616205081e-03
2.356904409576796033e-02	2.153286427267204206e-01	4.368278770333105208e-03
2.427611541864099776e-02	2.005055160569133577e-01	3.943806194869261574e-03
2.500439888120022797e-02	1.888667026475727428e-01	3.672203813240298639e-03
2.575453084763623668e-02	1.647987753885301609e-01	3.218746496916304739e-03
2.652716677306532142e-02	1.426355223917140369e-01	2.842056062708014485e-03
2.732298177625728033e-02	1.207524070775199687e-01	2.490409051799590077e-03
2.814267122954499864e-02	1.218032402408027876e-01	2.379052655876825063e-03
2.898695136643134745e-02	1.159522178397782155e-01	2.217165844978132710e-03
2.985655990742428975e-02	1.015198795649019659e-01	1.981208717131889389e-03
3.075225670464701994e-02	8.729219638982298191e-02	1.733524692945138512e-03
3.167482440578642949e-02	6.858317279952250156e-02	1.455439663590202748e-03
3.262506913796001801e-02	6.160751275450102732e-02	1.316930960184503748e-03
3.360382121209881667e-02	5.806988370021873291e-02	1.227401521396220396e-03
3.461193584846178339e-02	5.520364001786690761e-02	1.143323315208520435e-03
3.565029392391563107e-02	4.368344374998075347e-02	9.673189446375141500e-04
3.671980274163309799e-02	3.462371875402905919e-02	8.183278049275510314e-04
3.782139682388209467e-02	2.912668170461261280e-02	7.191043360471770967e-04
3.895603872859855488e-02	2.616306915722766205e-02	6.579641931094971745e-04
4.012471989045651027e-02	2.304325107384473312e-02	5.931751381168343063e-04
4.132846148717020385e-02	1.619301288766251262e-02	5.044276287858679916e-04
4.256831533178530996e-02	1.239542554607658831e-02	4.240486872146208785e-04
4.384536479173886669e-02	1.109681277330582666e-02	3.756568334681366665e-04
4.516072573549103492e-02	8.987645766793731644e-03	3.165569311914466066e-04
4.651554750755576562e-02	6.103431453209488475e-03	2.546699545645399990e-04
4.791101393278243692e-02	4.196693809406124194e-03	2.061563609722662205e-04
4.934834435076591863e-02	3.260727878686609741e-03	1.771475205886927627e-04
5.082879468128889688e-02	2.419612000780186917e-03	1.491976330132376136e-04
5.235365852172756129e-02	1.400980591928724806e-03	1.016257160775157006e-04
5.392426827737939465e-02	7.904451389456294960e-04	7.531686268750859622e-05
5.554199632570077511e-02	5.407460028116077609e-04	5.720293654080612120e-05
5.720825621547179912e-02	2.043189154567757516e-04	3.366275081427210712e-05
5.892450390193595261e-02	5.188190961871217381e-05	1.579203021909423939e-05
6.069223901899403056e-02	4.283740982219464338e-05	1.471710997815700991e-05
6.251300618956384669e-02	1.614948348488098840e-04	2.620317415746939376e-05
6.438839637525076154e-02	1.609177527096484128e-04	2.524094166128612970e-05
6.632004826650828022e-02	2.482644059253504010e-04	3.002672558471368081e-05
6.830964971450353973e-02	4.445992726599570614e-04	3.900551109394557065e-05
7.035893920593863649e-02	3.594007242242649308e-04	3.350937344742706264e-05
7.246970738211680474e-02	5.278795234443042642e-04	3.884590966698268900e-05
7.464379860358030805e-02	6.644150275848701662e-04	4.222153407911470200e-05
7.688311256168772756e-02	6.471557954566686940e-04	4.058607762808355454e-05
7.918960593853835439e-02	6.529651443027039348e-04	3.925180062897669098e-05
8.156529411669449781e-02	6.244882048528989415e-04	3.680962498487172979e-05
8.401225294019534773e-02	5.850515996350772211e-04	3.446957956411945902e-05
8.653262052840120233e-02	5.408307646823165560e-04	3.189686008251574074e-05
8.912859914425323715e-02	4.853634571318359600e-04	2.970367763577259841e-05
9.180245711858084356e-02	3.765624625477021164e-04	2.532598908941417114e-05
9.455653083213826082e-02	3.316914037898258008e-04	2.358081198390318486e-05
9.739322675710240795e-02	2.585302560006058387e-04	2.041481467426007411e-05
1.003150235598154749e-01	1.945781641633043894e-04	1.735896058899310285e-05
1.033244742666099558e-01	1.328676355170308192e-04	1.496157428196878400e-05
1.064242084946082495e-01	1.003844788685296887e-04	1.263695098002317899e-05
1.096169347494465041e-01	5.957023908100640350e-05	9.548823020685937471e-06
1.129054427919298914e-01	1.980695826630675919e-05	5.370076309839938179e-06
1.162926060756877822e-01	1.856481599345972925e-05	5.087441829880284705e-06
1.197813842579584231e-01	2.251207933319872948e-05	5.489568814810961712e-06
1.233748257856971675e-01	2.939988749482960788e-05	6.305207098751598929e-06
1.270760705592680895e-01	4.946739226180956091e-05	7.811194692911530775e-06
1.308883526760461491e-01	7.105385029541422346e-05	9.029413425998423354e-06
1.348150032563275036e-01	7.322768807973936732e-05	8.939184976446573163e-06
1.388594533540173370e-01	8.328916593785355422e-05	9.176558623454577051e-06
1.430252369546378688e-01	8.087634642004391230e-05	8.828050631360480680e-06
1.473159940632770004e-01	6.630851855290068150e-05	7.757434299895170311e-06
1.517354738851752760e-01	7.366801353725993616e-05	7.960968232977277446e-06
1.562875381017305443e-01	4.654626049318256434e-05	6.242566670362425670e-06
1.609761642447824492e-01	3.808237171027934967e-05	5.546722708999251097e-06
1.658054491721259460e-01	2.972103870719035841e-05	4.793154047617596258e-06
1.707796126472897469e-01	2.455010819790836638e-05	4.317216763356539745e-06
1.759030010267084165e-01	2.374784779723205689e-05	4.255916307597132135e-06
1.811800910575097068e-01	2.894133941436011545e-05	4.632068049822765998e-06
1.866154937892349763e-01	2.334921468297807963e-05	4.139513772067580006e-06
1.922139586029120439e-01	3.678307860674511956e-05	5.178236488328596311e-06
1.979803773609994100e-01	2.993486321505799843e-05	4.698319585004278128e-06
2.039197886818293892e-01	3.319598218965667667e-05	5.083895458913361533e-06
2.100373823422842512e-01	2.987502780187186266e-05	5.013668710485851488e-06
2.163385038125527904e-01	2.856292176732627076e-05	5.176212417450655547e-06
2.228286589269293794e-01	2.006124975293002051e-05	4.527558066648509386e-06
2.295135186947372674e-01	2.034779857800386157e-05	4.854438298164476293e-06
2.363989242555794013e-01	1.472375447424448948e-05	4.275142107503734211e-06
2.434908919832467766e-01	1.515612341036951774e-05	4.829700012087053963e-06
2.490371898039462073e-01	6.913777692454895397e-06	4.899226241532463797e-06
