8.920407844621777022e-03	8.076204261650788974e-01	4.814573616930947070e-02
9.188020079960430506e-03	8.751212109635779779e-01	4.977022283352940807e-02
9.463660682359244236e-03	8.533275434368158274e-01	4.359853399745915181e-02
9.747570502830021216e-03	7.679376813082194886e-01	3.453987752362677049e-02
1.003999761791492078e-02	7.828697683140929398e-01	3.258844140121344712e-02
1.034119754645236935e-02	7.996756926642550889e-01	3.064292249887739725e-02
1.065143347284593957e-02	8.266490074158266976e-01	2.911194095374977989e-02
1.097097647703131756e-02	7.927331866716195163e-01	2.597772958170792637e-02
1.130010577134225695e-02	8.251450043120871491e-01	2.467188848701703380e-02
1.163910894448252561e-02	8.112437337524217584e-01	2.264362097212452643e-02
1.198828221281699954e-02	8.250683558142245522e-01	2.133883213048909377e-02
1.234793067920151102e-02	7.810945434501360696e-01	1.903443320731060262e-02
1.271836859957755500e-02	7.985523042512039371e-01	1.828986676068520764e-02
1.309991965756488255e-02	8.023253702157682188e-01	1.704572110075577851e-02
1.349291724729182948e-02	7.973889466155857919e-01	1.606260876439394997e-02
1.389770476471058336e-02	7.560646705821877367e-01	1.459271722073513140e-02
1.431463590765190072e-02	5.720977980597820034e-01	1.150549424495051105e-02
1.474407498488145701e-02	2.929465968078600602e-01	7.377606254510766723e-03
1.518639723442790149e-02	1.623563861495000149e-01	5.052586664789824288e-03
1.564198915146073829e-02	1.129087062067464925e-01	3.999491468725226151e-03
1.611124882600455804e-02	8.815014980624513719e-02	3.381280907042205630e-03
1.659458629078469638e-02	7.340361236876084827e-02	2.978932360757221513e-03
1.709242387950823949e-02	5.968108699220546487e-02	2.621233398223409700e-03
1.760519659589348390e-02	4.132015350948713833e-02	2.044879103636806916e-03
1.813335249377029043e-02	2.979304585114276108e-02	1.701536208189195504e-03
1.867735306858339661e-02	2.157027010725712582e-02	1.462456065148111514e-03
1.923767366064089990e-02	2.041786748007020508e-02	1.412518158319410076e-03
1.981480387046012648e-02	2.299326891025662428e-02	1.483120213165813441e-03
2.040924798657393208e-02	2.213030088931722955e-02	1.368808372582882953e-03
2.102152542617114969e-02	1.889776233267908764e-02	1.250168651650882846e-03
2.165217118895628595e-02	1.334073432732425790e-02	1.091592278527871510e-03
2.230173632462497182e-02	1.056523482816342646e-02	7.803302944745617916e-04
2.297078841436372282e-02	9.790482262531598548e-03	7.292111545890809111e-04
2.365991206679463055e-02	1.053984931696014260e-02	6.865124690857024809e-04
2.436970942879847224e-02	9.842126068515907877e-03	6.350882102055545840e-04
2.510080071166242294e-02	9.747602091310541769e-03	6.056946082517443734e-04
